,Condition de prescription ou de délivrance,DesPharma,Dosage subst,Forme pharmaceutique,Nom,Nom subst,Type de générique,Voie d'administartion,cip7,cis,prix
9050,,comprimé,,comprimé,MIFEGYNE 200 mg  comprimé,MALATE D'ALMOTRIPTAN,,orale,3651347,66422290,0
9051,,gélule,,lotion,LOCOID  lotion,SULFATE D'ATAZANAVIR,,cutanée,3218946,66423894,2.60
9052,,solution,5 mg,comprimé,ZYMAFLUOR 0 75 mg  comprimé,CHLORHYDRATE D'APOMORPHINE HÉMIHYDRATÉ,,orale,3408954,66424074,1.79
9053,,comprimé,200 mg,pâte dentifrice,FLUOSELGINE  pâte dentifrice,MALÉATE DE TRIMÉBUTINE,,dentaire,3219963,66424149,0
9054,,solution,500 mg,comprimé pelliculé à libération prolongée,OXYCONTIN LP 80 mg  comprimé pelliculé à libération prolongée,ORNIDAZOLE,,orale,3542948,66424640,33.48
9055,,poudre,50 00 mg,comprimé,VASTEN 40 mg  comprimé,AMPHOTÉRICINE B,,orale,3690896,66424715,14.69
9056,,solution,10 mg,comprimé,ZYTIGA 250 mg  comprimé,CHLORHYDRATE D'IDARUBICINE,,orale,2174974,66425614,2.836.57
9057,,poudre,500 mg,poudre pour suspension buvable,VFEND 40 mg/ml  poudre pour suspension buvable,ACIDE ACÉTYLSALICYLIQUE,,orale,3640616,66425767,435.28
9058,,solution,37 MBq à la date de calibration,comprimé sécable,LEVOTHYROX 112 microgrammes  comprimé sécable,INDIUM [111 IN] (CHLORURE D'),,orale,3015804,66426100,2.16
9059,,comprimé,,suppositoire,SEDORRHOIDE CRISE HEMORROIDAIRE  suppositoire,ROSUVASTATINE CALCIQUE,,rectale,3762609,66426495,0
9060,,comprimé,4 mg,solution à diluer pour perfusion,CHLORURE DE POTASSIUM RENAUDIN 10 % (0 10 g/ml)  solution à diluer pour perfusion,CANDÉSARTAN CILEXÉTIL,,intraveineuse,5680761,66426577,0
9061,,comprimé,8 mg,capsule molle,PROGESTERONE BIOGARAN 200 mg  capsule molle ou capsule molle vaginale,DICHLORHYDRATE DE BÉTAHISTINE,,orale;vaginale,3582505,66426680,3.92
9062,,comprimé,500 mg,granulés pour solution buvable,CHONDROSULF 400 mg  granulé pour solution buvable en sachet,CAPÉCITABINE,,orale,3359150,66426709,0
9063,,capsule,250 mg,comprimé pelliculé,DESOGESTREL BIOGARAN 75 microgrammes  comprimé pelliculé,MÉTYRAPONE,,orale,2673648,66428489,1.23
9064,,solution,12 5 mg,solution injectable,UROMITEXAN 1 g/10 mL  solution à diluer pour perfusion,ACIDE CITRIQUE ANHYDRE,,intraveineuse,5584767,66428507,0
9065,,solution,10 mg,solution injectable,PREXATE 7 5 mg/ 0 30 ml  solution injectable en seringue préremplie,TRÉPROSTINIL,,sous-cutanée,3012018,66429153,10.21
9066,,solution,100 UI,comprimé à libération prolongée,XEROQUEL LP 300 mg  comprimé à libération prolongée,INSULINE GLARGINE ,,orale,4974029,66429235,36.69
9067,,solution,0 426 g,comprimé pelliculé,TAHOR 10 mg  comprimé pelliculé,MAGNÉSIUM (GLUCONATE DE),,orale,4900113,66429947,4.72
9068,,pommade,8 00 g,poudre et  solvant pour solution injectable,ALPROLIX 500 UI  poudre et solvant pour solution injectable,MÉQUINOL,,intraveineuse,5502283,66430312,0
9069,,comprimé,3CH à 30CH et 6DH à 60DH,granulés pour solution buvable,FOSFOMYCINE ARROW ADULTES 3 g  granulé pour solution buvable en sachet,SULFUR IODATUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3941826,66430643,4.26
9070,,solution buvable en ampoules,4CH à 30CH et 8DH à 60DH,gélule à libération prolongée,EFFEXOR L.P. 37 5 mg  gélule à libération prolongée,PICRICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3465633,66430942,4.99
9071,,comprimé,,comprimé sécable,CANDESARTAN MYLAN 32 mg  comprimé sécable,FÉBUXOSTAT HÉMIHYDRATÉ,,orale,2677296,66432676,3.79
9072,,solution,5 mg,gélule à libération modifiée,KETOPROFENE/OMEPRAZOLE ETHYPHARM 200 mg/20 mg  gélule à libération modifiée,SALBUTAMOL,,orale,3957313,66433778,0
9073,,poudre orale,2CH à 30CH et 4DH à 60DH,comprimé sécable,ZESTORETIC 20 mg/12 5 mg  comprimé sécable,LOBELIA INFLATA POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3715372,66434780,5.28
9074,,capsule,50 mg,comprimé,TELMISARTAN ZENTIVA 80 mg  comprimé,CICLOSPORINE,,orale,2699292,66435195,3.75
9075,,solution buvable en gouttes,2CH à 30CH et 4DH à 60DH,comprimé,LYSODREN 500 mg  comprimé,VALERIANA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,5657940,66435544,0
9076,,comprimé,,comprimé à libération prolongée,QUETIAPINE SANDOZ LP 300 mg  comprimé à libération prolongée,LÉVOFLOXACINE HÉMIHYDRATÉE,,orale,3002839,66437367,38.47
9077,,poudre,500 U,comprimé pelliculé,LEVOCETIRIZINE SANDOZ 5 mg  comprimé pelliculé,SUSOCTOCOG ALFA ,,orale,3968920,66437901,2.10
9078,,gélule,25 mg,sirop,OXOMEMAZINE BIOGARAN 0 33 mg/ml  sirop,PRÉGABALINE,,orale,3689545,66437926,1.99
9079,,dispositif,5 mg,comprimé pelliculé,ACIDE URSODESOXYCHOLIQUE TEVA 250 mg  comprimé pelliculé,ESTRADIOL ANHYDRE,,orale,2233429,66438622,6.86
9080,,dispositif,2 25 mg,comprimé gastro-résistant(e),PANTOPRAZOLE ARROW GENERIQUES 40 mg  comprimé gastro-résistant,ESTRADIOL HÉMIHYDRATÉ,,orale,3011220,66440064,2.70
9081,,comprimé,150 mg,solution injectable,LASILIX 20 mg/2 ml  solution injectable en ampoule,CAPÉCITABINE,,intramusculaire;intraveineuse,5868803,66441419,0
9082,,solution,60 277 mg,comprimé pelliculé et  comprimé pelliculé,BELARACONTINU 0 03 mg/2 mg  comprimé pelliculé,ARTICAÏNE BASE,,orale,3993697,66441440,0
9083,,comprimé,,dispositif,RIVASTIGMINE MYLAN PHARMA 9 5 mg/24 heures  dispositif transdermique,FUMARATE DE QUÉTIAPINE,,transdermique,2769495,66442631,0
9084,,comprimé,80 mg,solution buvable,GRANIONS DE BISMUTH 2 mg/2 ml  solution buvable,VALSARTAN,,orale,3046221,66442955,0
9085,,comprimé,20 mg,gélule gastro-résistant(e),OMEPRAZOLE ISOMED 20 mg  gélule gastro-résistante,NICARDIPINE (CHLORHYDRATE DE),,orale,3688729,66443612,0
9086,,comprimé,2 5 mg,solution pour pulvérisation,HUMEX FOURNIER 0 04 POUR CENT  solution pour pulvérisation nasale,INDAPAMIDE,,nasale,3415888,66443911,0
9087,,comprimé,40 mg,comprimé sécable,CANDESARTAN SANDOZ 8 mg  comprimé sécable,SIMVASTATINE,,orale,3969196,66444664,10.83
9088,,comprimé,500 mg,collyre,SOPHTAL 0 1 POUR CENT  collyre,DÉFÉRIPRONE,,ophtalmique,3098040,66445638,0
9089,,poudre,516 mg,comprimé et  comprimé,OPTIKINZY 250 microgrammes/35 microgrammes  comprimé,CHLORHYDRATE DE DALBAVANCINE,,orale,3013338,66449857,0
9090,,comprimé,10 mg,gélule,SILODOSINE EG 4 mg  gélule,ESCITALOPRAM,,orale,3017346,66450806,4.71
9091,,comprimé,250 mg,comprimé pelliculé,AGOMELATINE CRISTERS 25 mg  comprimé pelliculé,CLARITHROMYCINE,,orale,3016072,66452892,14.97
9092,,comprimé,2 mg,solution pour usage dentaire,PARACAMF  solution pour usage dentaire,GLIMÉPIRIDE,,dentaire,5001694,66453478,0
9093,,solution,2 mg,comprimé sécable,ALPRAZOLAM ALTER 0 50 mg  comprimé sécable,ONDANSÉTRON,,orale,3581776,66454466,1.65
9094,,comprimé,0 25 mg,comprimé,PIRILENE 500 mg  comprimé,ALPRAZOLAM,,orale,3238707,66454982,10.76
9095,,suspension,20 microgrammes,comprimé pelliculé,ATORVASTATINE ACCORD 40 mg  comprimé pelliculé,ANTIGÈNE  DE SURFACE DE L'HÉPATITE B RECOMBINANT  ,,orale,2185937,66456143,4.36
9096,,poudre,300 mg,poudre et  solvant pour solution injectable,LUVERIS 75 UI  poudre et solvant pour solution injectable,PARACÉTAMOL,,sous-cutanée,3549643,66457697,45.82
9097,,comprimé,220 mg,comprimé,OLANZAPINE RANBAXY 7 5 mg  comprimé,FUMETERRE (PARTIE AÉRIENNE FLEURIE DE) (EXTRAIT SEC DE),,orale,3966803,66458219,11.61
9098,,comprimé,500 mg,comprimé,ARIPIPRAZOLE ZENTIVA 15 mg  comprimé,VALACICLOVIR,,orale,3002390,66459641,17.38
9099,,comprimé,10 mg,comprimé pelliculé,DETRUSITOL 1 mg  comprimé pelliculé,ARIPIPRAZOLE,,orale,3461612,66459972,0
9100,,comprimé,15 mg,comprimé sécable,METOPROLOL MYLAN 100 mg  comprimé sécable,ALTIZIDE,,orale,3736291,66459997,5.27
9101,,comprimé,10 mg,gélule,TASIGNA 200 mg  gélule,CHLORHYDRATE DE MÉMANTINE,,orale,2168755,66460565,831.97
9102,,poudre,263 00  mg,poudre pour solution buvable,MACROGOL 4000 MYLAN 10 g  poudre pour solution buvable en sachet-dose,CÉFUROXIME SODIQUE,,orale,3894995,66460615,2.51
9103,,comprimé,600 mg,comprimé sécable,PERINDOPRIL ARROW 4 mg  comprimé sécable,ÉFAVIRENZ,,orale,3862280,66463077,3.64
9104,,comprimé,274 09 mg,comprimé orodispersible,MIRTAZAPINE RANBAXY 15 mg  comprimé orodispersible,MÉFLOQUINE (CHLORHYDRATE DE),,orale,3902223,66463134,2.93
9105,,comprimé,8 mg,solution pour perfusion,FLUCONAZOLE MYLAN 2 mg/ml  solution pour perfusion,ROPINIROLE BASE,,intraveineuse,5723890,66464019,0
9106,,poudre orale,2CH à 30CH et 4DH à 60DH,comprimé pelliculé à libération prolongée,ALFATIL LP 500 mg  comprimé pelliculé à libération prolongée,CHELIDONIUM MAJUS POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3357599,66470506,9.58
9107,,comprimé,300 mg,comprimé pelliculé,EXEMESTANE CRISTERS 25 mg  comprimé pelliculé,ALLOPURINOL,,orale,4152020,66471451,45.75
9108,,comprimé,0 625 mg,collyre en solution,CROMOPTIC 2 %  collyre en solution en récipient unidose,INDAPAMIDE,,ophtalmique,3535664,66472119,3.37
9109,,comprimé,5 0 mg,solution pour application,EOSINE COOPER 2 POUR CENT  solution pour application cutanée en récipient unidose,BIOTINE,,cutanée,3396837,66472432,0
9110,,comprimé,68 mg,comprimé pelliculé sécable,ZOPICLONE SANDOZ 7 5 mg  comprimé pelliculé sécable,SUCCINATE DE LOXAPINE,,orale,3658384,66473032,1.92
9111,,comprimé,30 mg,solution injectable,TELEBRIX HYSTERO (250 mg l/mL)  solution injectable par voie intra-utérine,CODÉINE (PHOSPHATE DE) HÉMIHYDRATÉ,,intra-utérine,3201070,66473178,0
9112,,solution,,comprimé,COVERAM 5 mg/10 mg  comprimé,ACÉTATE D'OCTRÉOTIDE,,orale,4900151,66473203,31.28
9113,,crème,5 g,gélule gastro-résistant(e),LANZOR 15 mg  gélule gastro-résistante,ACICLOVIR,,orale,3454902,66475001,6.67
9114,,gélule,150 mg,poudre pour solution injectable,CEFTRIAXONE KABI 1 g  poudre pour solution injectable (IV),CHLORHYDRATE DE TRAMADOL,,intraveineuse,3576551,66475161,0
9115,,pastille,8 75 mg,gélule,LIPANOR 100 mg  gélule,FLURBIPROFÈNE,,orale,3269688,66475325,3.40
9116,,comprimé,20 mg,gélule,MILNACIPRAN BIOGARAN 25 mg  gélule,SIMVASTATINE,,orale,4193881,66475784,5.08
9117,,comprimé,1 g,comprimé pelliculé,ACTONEL 75 mg  comprimé pelliculé,PARACÉTAMOL,,orale,4902142,66477041,0
9118,,gélule,300 mg,comprimé pelliculé,MOXIFLOXACINE KRKA 400 mg  comprimé pelliculé,ATAZANAVIR,,orale,2792643,66477066,6.54
9119,,comprimé,36 9 mg,suspension buvable,DOLIPRANE 2 4 POUR CENT SANS SUCRE  suspension buvable édulcorée au maltitol liquide et au sorbitol,DEXKÉTOPROFÈNE TROMÉTAMOL,,orale,3461546,66477582,1.38
9120,,poudre,1200 UI,comprimé gastro-résistant(e),RABEPRAZOLE TEVA 20 mg  comprimé gastro-résistant,FACTEUR WILLEBRAND DE COAGULATION HUMAIN,,orale,4970161,66477810,2.70
9121,,comprimé,,comprimé à libération prolongée,TRAMADOL ARROW L.P. 150 mg  comprimé à libération prolongée,CHLORHYDRATE DE BUPRÉNORPHINE,,orale,3982624,66479409,7.98
9122,,comprimé,64 25 mg,comprimé à libération prolongée,TAMSULOSINE EG LP 0 4 mg  comprimé à libération prolongée,PHOSPHATE DE SITAGLIPTINE MONOHYDRATÉ,,orale,4177103,66479505,5.57
9123,,comprimé,291 50 mg,comprimé sécable,LORAZEPAM BIOGARAN 1 mg  comprimé sécable,PHOSPHATE DE TÉNOFOVIR DISOPROXIL,,orale,2692404,66481043,1.03
9124,,comprimé,15 mg,solution injectable,LEVEMIR INNOLET 100 Unités/ml  solution injectable en stylo prérempli,HYDROGÉNOSUCCINATE DE DOXYLAMINE,,sous-cutanée,3651206,66481292,48.51
9125,,gel,8 7 g,comprimé orodispersible,PHLOROGLUCINOL BIOGARAN 160 mg  comprimé orodispersible,SALICYLATE DE CHOLINE,,orale;sublinguale,3016849,66482348,1.43
9126,,comprimé,12 77 mg,gélule,ARKOGELULES CASSIS  gélule,OXALATE D'ESCITALOPRAM,,orale,3398457,66484185,0
9127,,comprimé,10 mg,gélule,ELUSANES PASSIFLORE 200 mg  gélule,ARIPIPRAZOLE,,orale,3291044,66484192,0
9128,,comprimé,10 mg,comprimé pelliculé sécable,OFLOCET 200 mg  comprimé pelliculé sécable,CHLORHYDRATE DE DONÉPÉZIL,,orale,3290323,66484819,7.09
9129,,comprimé,37 50 mg,comprimé,PERINDOPRIL ARROW GENERIQUES 8 mg  comprimé,CAFÉINE ANHYDRE,,orale,3625031,66485102,3.64
9130,,gélule,50 mg,suppositoire,BRONCHORECTINE AU CITRAL ADULTES  suppositoire,FLUCONAZOLE,,rectale,3015640,66487256,0
9131,,comprimé,20 mg,comprimé sécable,RAMIPRIL ALTER 2 5 mg  comprimé sécable,CHLORHYDRATE D'OXYCODONE,,orale,3727464,66487797,3.75
9132,,comprimé,2 mg,solution injectable,METAFLU 2.0 GBq/mL  solution injectable,GLIMÉPIRIDE,,intraveineuse,5502265,66488073,0
9133,,capsule,5 00 mg,comprimé enrobé à libération prolongée,DICLOFENAC MYLAN LP 75 mg  comprimé enrobé à libération prolongée,ISOTRÉTINOÏNE,,orale,3011988,66488326,4.41
9134,,comprimé,,comprimé dispersible sécable,IMATINIB HCS 400 mg  comprimé dispersible,CHLORHYDRATE D'ONDANSÉTRON DIHYDRATÉ,,orale,3016132,66488625,930.74
9135,,comprimé,600 mg,collyre en solution,TIMOCOMOD 0 25 POUR CENT  collyre en solution,DIOSMINE,,ophtalmique,3546981,66488803,6.26
9136,,solution buvable en gouttes,4CH à 30CH et 8DH à 60DH,collyre en solution,GANFORT 0 3 mg/ml + 5 mg/ml  collyre en solution,BOTHROPS LANCEOLATUS POUR PRÉPARATIONS HOMÉOPATHIQUES,,ophtalmique,3757413,66489175,10.50
9137,,gel,2 5 g,solution et  solution et  émulsion pour perfusion,NUMETAH G13% E PREMATURES  émulsion pour perfusion,NIFLUMIQUE (ACIDE),,intraveineuse,3006086,66490117,0
9138,,comprimé,5 mg,gélule,FLUCONAZOLE ARROW 100 mg  gélule,DIAZÉPAM,,orale,3671686,66490708,18.26
9139,,éluat,2 - 20 GBq à la date de calibration,solution et  solution pour dialyse péritonéale,SELUTRIO 10  solution pour dialyse péritonéale,SODIUM (PERTECHNÉTATE [99M TC] DE),,intrapéritonéale,3539662,66492214,0
9140,,poudre,0 0233 g,comprimé enrobé,CEFUROXIME ZENTIVA 500 mg  comprimé enrobé,POTASSIUM (CHLORURE DE),,orale,3636253,66494311,7.38
9141,,comprimé,250 mg,crème,PLIAGLIS 70 mg/70 mg par gramme  crème,AZITHROMYCINE,,cutanée,2241127,66494553,0
9142,,solution,4 g,solution pour perfusion,PRIALT 100 microgrammes/ml  solution pour perfusion,EXTRAIT SEC RAFFINÉ ET QUANTIFIÉ DE GINKGO,,intrathécale,5697276,66495139,0
9143,,gélule,150 mg,comprimé à libération modifiée,GLICLAZIDE SANDOZ 30 mg  comprimé à libération modifiée,PRÉGABALINE,,orale,3856316,66496173,3.98
9144,,gélule,24 mg,solution injectable pour perfusion,LEVOBUPIVACAINE ALTAN 2 5 mg/mL  solution injectable/pour perfusion,BROMHYDRATE DE GALANTAMINE,,infiltration;intrathécale;péribulbaire;péridurale;périneurale,5506032,66497617,0
9145,,solution,5000 UI anti Xa,solution injectable,NaF MetaTrace 2 000 MBq/mL  solution injectable,DALTÉPARINE SODIQUE ,,intraveineuse,5856763,66498352,0
9146,,comprimé,75 mg,solution buvable,FLUOSTEROL 0 25 mg/800 U.I./dose  solution buvable,SPIRONOLACTONE,,orale,3571849,66498605,2.54
9147,,émulsion,2 84 g,collyre en solution,CROMOPTIC 2 %  collyre en solution,MÉTHIONINE,,ophtalmique,3459176,66499002,5.62
9148,,comprimé,10 mg,solution injectable,CHLORURE DE METHYLTHIONINIUM PROVEBLUE 5 mg/ml  solution injectable,NITRENDIPINE,,intraveineuse,5800834,66499899,0
9149,,solution,5 mg,comprimé pelliculé,IFIRMACOMBI 300 mg/25 mg  comprimé pelliculé,NÉLARABINE,,orale,2246107,66500369,3.75
9150,,comprimé,50 00 mg,comprimé sécable,PRAMIPEXOLE ARROW LAB 0 7 mg  comprimé sécable,BICALUTAMIDE,,orale,3009246,66500390,20.05
9151,,comprimé,9 42 mg,comprimé pelliculé,IMUREL 50 mg  comprimé pelliculé,RABÉPRAZOLE BASE,,orale,4900228,66500821,19.94
9152,,comprimé,,dispositif,DERMESTRIL 100 microgrammes/24 heures  dispositif transdermique,OXALATE D'ESCITALOPRAM,,transdermique,3409037,66501802,5.86
9153,,comprimé,150 microgrammes,solution buvable,VEDROP 50 mg/ml  solution buvable,LÉVONORGESTREL,,orale,3989690,66502733,0
9154,,gélule,100 mg,solution buvable,DESLORATADINE ZENTIVA 0 5 mg/ml  solution buvable,MIGLUSTAT,,orale,2176269,66503041,2.27
9155,,comprimé,31 25 mg,gélule et  gélule,APREPITANT TEVA 125 mg  gélule et APREPITANT TEVA 80 mg  gélule,CARBIDOPA ANHYDRE,,orale,3015106,66503721,23.77
9156,,sirop,0 033 g,solution buvable,CUIVRE OLIGOSOL  solution buvable en ampoule,OXOMÉMAZINE,,orale;sublinguale,3754679,66504691,0
9157,,comprimé,2CH à 30CH et 4DH à 60DH,solution injectable,ROPIVACAÏNE KABI 7 5 mg/ml  solution injectable en ampoule,PODOPHYLLUM PELTATUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,infiltration;péridurale;périneurale,5774025,66504830,0
9158,,comprimé,5 mg,solution pour perfusion,INTEGRILIN 0 75 mg/ml  solution pour perfusion,TARTRATE DE ZOLPIDEM,,intraveineuse,5621770,66506404,0
9159,,gélule,10 mg,sirop,BRONCHOKOD ADULTES  sirop,OMÉPRAZOLE,,orale,4152037,66507470,0
9160,,comprimé,100 000 mg,poudre pour solution injectable,COSMEGEN 0 5 mg  poudre pour solution injectable,LOSARTAN POTASSIQUE,,intraveineuse,5643429,66507634,0
9161,,gélule,14 mg titré à 24 % d'hétérosides de Ginko et 6 % de Ginkolides-bilobalide,comprimé pelliculé,CERNITOL 47 mg  comprimé pelliculé,GINKGO (EXTRAIT DE),,orale,3006461,66508394,0
9162,,comprimé,25 mg,comprimé,ARIPIPRAZOLE SANDOZ 5 mg  comprimé,SPIRONOLACTONE,,orale,3002363,66508679,17.38
9163,,comprimé,800 mg,comprimé gastro-résistant(e),DEPAKOTE 250 mg  comprimé gastro-résistant,GABAPENTINE,,orale,5618934,66508736,0
9164,,gélule,500 00 mg,poudre et  solvant pour solution injectable,ALYOSTAL VENIN DE GUEPE VESPULA 110 microgrammes  poudre et solvant pour solution injectable,AMOXICILLINE ANHYDRE,,sous-cutanée,3328250,66509845,17.60
9165,,solution,4 480 g,comprimé gastro-résistant(e),RABEPRAZOLE ISOMED 10 mg  comprimé gastro-résistant,SODIUM (LACTATE DE) ANHYDRE,,orale,2199282,66510694,0
9166,,suspension,50 mg,gélule,ELUSANES KAOLIN 500 mg  gélule,SACCHAROMYCES CEREVISIAE,,orale,3527765,66510897,0
9167,,solution,7 5 mg,gélule,PREGABALINE EG 75 mg  gélule,FONDAPARINUX SODIQUE,,orale,3002897,66511091,10.93
9168,,solution,0 01 mg,solution à diluer pour perfusion,IRINOTECAN HOSPIRA 20 mg/ml  solution à diluer pour perfusion,ILOPROST,,intraveineuse,5747850,66511369,0
9169,,poudre,500 mg,solution injectable,BECOZYME  solution injectable en ampoule,AMOXICILLINE ANHYDRE,,intramusculaire;intraveineuse,3010269,66511376,0
9170,,comprimé,4 2 mg,comprimé dispersible,AMOXICILLINE BGR 1 g  comprimé dispersible,LÉVOCÉTIRIZINE,,orale,3000884,66511789,4.09
9171,,solution,0 20 mg,gélule à libération prolongée,DILTIAZEM MYLAN LP 300 mg  gélule à libération prolongée,CICLÉSONIDE,,orale,2779826,66511935,5.28
9172,,poudre,,comprimé sécable,CARVEDILOL TEVA 25 mg  comprimé sécable,AMOXICILLINE TRIHYDRATÉE,,orale,3772341,66512407,4.23
9173,,solution,1 5 mg,solution injectable,ABASAGLAR 100 unités/ml  solution injectable en cartouche,SULFATE DE SALBUTAMOL,,sous-cutanée,3001616,66513085,38.40
9174,,solution,,comprimé orodispersible,LANSOPRAZOLE ZYDUS 15 mg  comprimé orodispersible,TREPROSTINIL MONOHYDRATÉ,,orale,3015707,66513612,5.03
9175,,solution,0 1 g,poudre,LAXAMALT  poudre orale,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,,orale,3058856,66514397,0
9176,,comprimé,12 5 mg,comprimé pelliculé,ETORICOXIB BIOGARAN 30 mg  comprimé pelliculé,HYDROCHLOROTHIAZIDE,,orale,3014392,66514714,5.02
9177,,comprimé,30 mg,solution buvable,OXOMEMAZINE BIOGARAN CONSEIL 0 33 mg/ml SANS SUCRE  solution buvable édulcorée à l'acésulfame potassique,TOLVAPTAN,,orale,2241110,66514842,0
9178,,comprimé,,gélule,PERMIXON 160 mg  gélule,CHLORHYDRATE DE ROPINIROLE,,orale,4902320,66515809,15.22
9179,,comprimé,,solution buvable,GABACET  solution buvable en ampoule,CONCENTRAT DE CHOLÉCALCIFÉROL  FORME PULVÉRULENTE,,orale,3220185,66516206,0
9180,,comprimé,15 mg,solution pour application à diluer,CADITAR 35 g/100 g  solution pour application cutanée à diluer,PINDOLOL,,cutanée,3016467,66517614,3.05
9181,,suppositoire,100 mg,solution injectable,MAGNEVIST  solution injectable en seringue pré-remplie (IV),PARACÉTAMOL,,intraveineuse,3430209,66517653,34.60
9182,,suspension,160 microgrammes,comprimé pelliculé à libération prolongée,FLUVASTATINE BIOGARAN LP 80 mg  comprimé pelliculé à libération prolongée,BUDÉSONIDE,,orale,3937813,66518260,4.30
9183,,poudre orale,3CH à 30CH et 5DH à 60DH,gélule,CHLORAMINOPHENE 2 mg  gélule,BARYTA CARBONICA POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3369906,66518292,18.51
9184,,comprimé,7 5 mg,comprimé,VOTUBIA 10 mg  comprimé,OLANZAPINE,,orale,2194770,66520037,3.825.72
9185,,gélule,20 mg,solution pour lavage,CIELLA 0 1 %  solution pour lavage ophtalmique en récipient unidose,OMÉPRAZOLE,,ophtalmique,3650856,66520560,0
9186,,solution,1 mg,comprimé pelliculé,EBASTINE MYLAN 10 mg  comprimé pelliculé,ATROPINE (SULFATE D'),,orale,2781237,66522013,4.12
9187,,pastille,20 mg,poudre pour solution pour perfusion,ARACYTINE 2 g  poudre pour solution pour perfusion (I.V.),BICLOTYMOL,,intraveineuse,5626483,66523859,0
9188,,comprimé,500 mg,dispositif et  gel,QUTENZA 179 mg  patch cutané,CIPROFLOXACINE,,cutanée,5768384,66525842,0
9189,,poudre,,comprimé,CANDESARTAN/HYDROCHLOROTHIAZIDE HCS 8 mg/12 5 mg  comprimé,CEFTAZIDIME PENTAHYDRATÉE,,orale,4168972,66525995,3.75
9190,,comprimé,1 25 mg,gélule,PREGABALINE ARROW 300 mg  gélule,RAMIPRIL,,orale,3014797,66526816,21.02
9191,,suspension,60 mg,comprimé pelliculé,ESBRIET 267 mg  comprimé pelliculé,OXCARBAZÉPINE,,orale,3010920,66527665,547.28
9192,,granules,2CH à 30CH et 4DH à 60DH,comprimé pelliculé sécable,BISOPROLOL QUIVER LAB 3 75 mg  comprimé pelliculé sécable,AMMONIUM MURIATICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3008052,66528824,4.13
9193,,solution,25 microgrammes,comprimé pelliculé,ATORVASTATINE EVOLUGEN PHARMA 80 mg  comprimé pelliculé,DARBÉPOÉTINE ALFA ,,orale,3006653,66530729,12.79
9194,,solution d'acides aminés,4 125 g,comprimé pelliculé,GEFITINIB SANDOZ 250 mg  comprimé pelliculé,CHLORHYDRATE DE LYSINE,,orale,3015501,66530743,861.69
9195,,solution buvable en gouttes,2CH à 30CH et 4DH à 60DH,solution injectable,NORDITROPINE FLEXPRO 5 mg/1 5 ml  solution injectable en stylo prérempli,AETHUSA CYNAPIUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,sous-cutanée,3017954,66531208,136.35
9196,,solution,1 g,crème,MYLEUGYNE 1 %  crème,ORNIDAZOLE,,cutanée,2227417,66531838,0
9197,,crème,2CH à 30CH et 4DH à 60DH (crème à 4 %),solution à diluer pour perfusion,YERVOY 5 mg/ml  solution à diluer pour perfusion,BELLADONNA POUR PRÉPARATIONS HOMÉOPATHIQUES,,intraveineuse,5808770,66532840,0
9198,,solution,20 mg,solution pour perfusion,CHLORURE DE POTASSIUM 0 3 % ET CHLORURE DE SODIUM 0 9 % KABI  solution pour perfusion,BUROSUMAB ,,intraveineuse,3003753,66533294,0
9199,,comprimé,20 mg,comprimé enrobé,KETOSTERIL  comprimé enrobé,CHLORHYDRATE DE MÉMANTINE,,orale,3360874,66534581,53.22
9200,,solution,0 6 g,gel,KETOCONAZOLE EG 2 %  gel en sachet-dose,CHLORHYDRATE D'AMBROXOL,,cutanée,3838270,66534720,4.40
9201,,poudre,5 g,solution pour perfusion,PARACETAMOL MACOPHARMA 10 mg/ml  solution pour perfusion,TETRAKIS(HYDROXYMETHYL)METHANE,,intraveineuse,5768958,66534880,0
9202,,compresse,5 00 g,comprimé,EZETIMIBE/SIMVASTATINE ALMUS 10 mg/20 mg  comprimé,LIDOCAÏNE,,orale,3014164,66535078,19.04
9203,,comprimé,103 63 mg,comprimé sécable,CANDESARTAN MYLAN 8 mg  comprimé sécable,DOXYCYCLINE MONOHYDRATÉE,,orale,2677008,66535345,3.75
9204,,gélule,100 mg,comprimé,PERINDOPRIL/INDAPAMIDE EG 2 mg/0 625 mg  comprimé,PRÉGABALINE,,orale,4973194,66537392,10.54
9205,,solution,3 700 MBq à la date et à l'heure de calibration,dispositif,MATRIFEN 100 microgrammes/heure  dispositif transdermique,SODIUM (IODURE [123 I] DE) (SOLUTION DE),,transdermique,3865284,66537773,43.85
9206,,comprimé,30 mg,comprimé pelliculé,IRBESARTAN ISOMED 300 mg  comprimé pelliculé,BROMHYDRATE DE DEXTROMÉTHORPHANE,,orale,4910733,66537862,0
